test_path,fit_path,hamming_dist
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1103.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(381).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1103.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image (50).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1103.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0346.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1103.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(9).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1103.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(80).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/800.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/801.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0157.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m (83).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (59).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0536.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0632.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0634.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0632.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (180).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0632.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (179).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (306).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0230.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (306).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (305).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (306).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0229.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-noTr_0007.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/8.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-noTr_0007.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1052.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (123).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0603.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (123).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (152).jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (123).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0566.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (123).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (122).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (123).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (118).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/image(73).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (138).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/image(73).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0043.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0554.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1134.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0554.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0650.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0554.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0828.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (650).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Tr-gl_0087.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (749).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Te-gl_0054.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0252.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(265).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0371.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0130.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0371.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0132.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0371.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(404).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0371.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0116.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0371.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(157).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0371.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(142).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1521.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1522.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (38).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0723.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0137.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (222).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0697.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (776).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0345.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (41).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0091.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0092.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0091.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (181).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0091.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (182).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0477.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0194.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0477.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0318.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0477.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1210.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0477.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0433.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1061.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0360.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1061.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0754.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Tr-gl_0709.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Tr-gl_0710.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1917.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1919.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1917.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1916.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1917.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1915.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1917.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1918.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1917.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1920.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (811).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (809).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (811).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Te-gl_0069.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0391.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0428.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0391.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0526.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m2 (26).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0464.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0580.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0758.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0580.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1262.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0580.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1199.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0580.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0807.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0580.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1020.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1587.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1588.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (153).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0604.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (153).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (154).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0207.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Te-me_0027.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0476.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (528).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1547.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0145.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1547.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0369.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1547.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0124.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1547.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1384.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1547.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0458.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1547.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0618.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1547.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1408.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1547.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0906.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1547.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1495.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Tr-gl_0433.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Te-gl_0129.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1148.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0688.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1148.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0738.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1003.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0183.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1009.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0706.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1177.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1419.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0973.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0746.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image (31).jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0902.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0572.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1188.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0029.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0559.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-noTr_0005.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Te-gl_0022.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (621).jpg,0
